"tipo_alteracao";"categoria_alteracao";"natureza_campo";"num_convenio";"cod_tci";"campo";"valor_anterior";"valor_atual"
"saiu";"registro_removido";"registro_removido";"981046";"1-2093981";"vlr_repasse_tci";"600000.0";""
"saiu";"registro_removido";"registro_removido";"985095";"1-2092645";"vlr_repasse_tci";"1000000.0";""
"saiu";"registro_removido";"registro_removido";"985105";"1-2093908";"vlr_repasse_tci";"1900000.0";""
"alterado";"dados";"dados_origem";"1S-4573";"1S-4573";"txt_modalidade_tci";"";"Médias e Grandes Cidades"
"alterado";"dados_e_derivados";"dados_origem";"964490";"1-1986926";"dte_publicacao_licitacao_tgov";"";"2026-02-25"
"alterado";"dados_e_derivados";"dados_origem";"964490";"1-1986926";"dte_homologacao_licitacao_tgov";"";"2026-03-31"
"alterado";"dados_e_derivados";"derivado_regra";"964490";"1-1986926";"flag_publicacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"964490";"1-1986926";"flag_homologacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"964490";"1-1986926";"ultima_data_relevante_calc";"2025-12-26";"2026-03-31"
"alterado";"dados_e_derivados";"derivado_regra";"964490";"1-1986926";"fase_atual_calc";"LAE";"HOMOLOGACAO"
"alterado";"dados_e_derivados";"derivado_regra";"964490";"1-1986926";"dias_ate_publicacao_calc";"";"61"
"alterado";"dados_e_derivados";"derivado_regra";"964490";"1-1986926";"dias_publicacao_ate_homologacao_calc";"";"34"
"alterado";"dados_e_derivados";"dados_origem";"966272";"1-1992084";"dte_homologacao_licitacao_tgov";"2026-05-27";"2026-04-06"
"alterado";"dados_e_derivados";"derivado_regra";"966272";"1-1992084";"ultima_data_relevante_calc";"2026-05-27";"2026-04-06"
"alterado";"dados_e_derivados";"derivado_regra";"966272";"1-1992084";"dias_publicacao_ate_homologacao_calc";"121";"70"
"alterado";"dados";"dados_origem";"966503";"1-1990702";"situacao_da_analise_suspensiva_pbi";"Analisada com pendências";"Análise iniciada"
"alterado";"dados";"dados_origem";"966503";"1-1990702";"situacao_da_analise_suspensiva_dmp";"Analisada com pendências";"Análise iniciada"
"alterado";"dados";"dados_origem";"968257";"1-2012329";"situacao_da_analise_suspensiva_pbi";"Análise não iniciada";"Análise iniciada"
"alterado";"dados";"dados_origem";"968257";"1-2012329";"situacao_da_analise_suspensiva_dmp";"Análise não iniciada";"Análise iniciada"
"alterado";"dados";"dados_origem";"968581";"1-2016946";"situacao_da_analise_suspensiva_pbi";"Análise não iniciada";"Análise iniciada"
"alterado";"dados";"dados_origem";"968581";"1-2016946";"situacao_da_analise_suspensiva_dmp";"Análise não iniciada";"Análise iniciada"
"alterado";"dados_e_derivados";"dados_origem";"968626";"1-2015971";"dte_homologacao_licitacao_tgov";"";"2026-05-06"
"alterado";"dados_e_derivados";"derivado_regra";"968626";"1-2015971";"flag_homologacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"968626";"1-2015971";"ultima_data_relevante_calc";"2026-02-11";"2026-05-06"
"alterado";"dados_e_derivados";"derivado_regra";"968626";"1-2015971";"fase_atual_calc";"PUBLICACAO LICITACAO";"HOMOLOGACAO"
"alterado";"dados_e_derivados";"derivado_regra";"968626";"1-2015971";"dias_publicacao_ate_homologacao_calc";"";"84"
"alterado";"dados_e_derivados";"dados_origem";"968629";"1-2012303";"dte_publicacao_licitacao_tgov";"";"2026-05-05"
"alterado";"dados_e_derivados";"dados_origem";"968629";"1-2012303";"dte_homologacao_licitacao_tgov";"";"2026-05-21"
"alterado";"dados_e_derivados";"derivado_regra";"968629";"1-2012303";"flag_publicacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"968629";"1-2012303";"flag_homologacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"968629";"1-2012303";"ultima_data_relevante_calc";"2026-03-06";"2026-05-21"
"alterado";"dados_e_derivados";"derivado_regra";"968629";"1-2012303";"fase_atual_calc";"LAE";"HOMOLOGACAO"
"alterado";"dados_e_derivados";"derivado_regra";"968629";"1-2012303";"dias_ate_publicacao_calc";"";"60"
"alterado";"dados_e_derivados";"derivado_regra";"968629";"1-2012303";"dias_publicacao_ate_homologacao_calc";"";"16"
"alterado";"dados_e_derivados";"dados_origem";"968729";"1-2011921";"dsc_situacao_contrato_mcid_tci";"Contratado - Suspensiva";"Contratado - Normal"
"alterado";"dados_e_derivados";"dados_origem";"968729";"1-2011921";"situacao_da_analise_suspensiva_pbi";"Analisada e aceita";"Suspensiva retirada"
"alterado";"dados_e_derivados";"dados_origem";"968729";"1-2011921";"situacao_da_analise_suspensiva_dmp";"Analisada e aceita";"Suspensiva retirada"
"alterado";"dados_e_derivados";"derivado_regra";"968729";"1-2011921";"situacao_contrato_dmp";"Contratado - Suspensiva";"Contratado - Normal"
"alterado";"dados_e_derivados";"dados_origem";"968729";"1-2011921";"motivo_suspensiva_retirada_dmp";"";"situacao_da_analise_suspensiva_pbi"
"alterado";"dados";"dados_origem";"969044";"1-2015771";"situacao_da_analise_suspensiva_pbi";"Análise iniciada";"Analisada e rejeitada"
"alterado";"dados";"dados_origem";"969044";"1-2015771";"situacao_da_analise_suspensiva_dmp";"Análise iniciada";"Analisada e rejeitada"
"alterado";"dados";"dados_origem";"969049";"1-2010803";"situacao_da_analise_suspensiva_pbi";"Análise iniciada";"Analisada e rejeitada"
"alterado";"dados";"dados_origem";"969049";"1-2010803";"situacao_da_analise_suspensiva_dmp";"Análise iniciada";"Analisada e rejeitada"
"alterado";"dados_e_derivados";"dados_origem";"969096";"1-2015167";"dsc_situacao_contrato_mcid_tci";"Contratado - Suspensiva";"Contratado - Normal"
"alterado";"dados_e_derivados";"dados_origem";"969096";"1-2015167";"situacao_da_analise_suspensiva_pbi";"Análise iniciada";"Suspensiva retirada"
"alterado";"dados_e_derivados";"dados_origem";"969096";"1-2015167";"dte_primeira_data_lae_tdb";"";"2026-05-04"
"alterado";"dados_e_derivados";"derivado_regra";"969096";"1-2015167";"ultima_data_relevante_calc";"2025-09-19";"2026-05-04"
"alterado";"dados_e_derivados";"derivado_regra";"969096";"1-2015167";"dias_ate_publicacao_calc";"";"-325"
"alterado";"dados_e_derivados";"dados_origem";"969096";"1-2015167";"situacao_da_analise_suspensiva_dmp";"Análise iniciada";"Suspensiva retirada"
"alterado";"dados_e_derivados";"derivado_regra";"969096";"1-2015167";"situacao_contrato_dmp";"Contratado - Suspensiva";"Contratado - Normal"
"alterado";"dados_e_derivados";"dados_origem";"969096";"1-2015167";"motivo_suspensiva_retirada_dmp";"";"situacao_da_analise_suspensiva_pbi"
"alterado";"dados";"dados_origem";"969102";"1-2015250";"situacao_da_analise_suspensiva_pbi";"Análise não iniciada";"Análise iniciada"
"alterado";"dados";"dados_origem";"969102";"1-2015250";"situacao_da_analise_suspensiva_dmp";"Análise não iniciada";"Análise iniciada"
"alterado";"dados_e_derivados";"dados_origem";"969145";"1-2012177";"dte_inicio_obra_mcid_tci";"2026-02-03";"2026-02-06"
"alterado";"dados_e_derivados";"derivado_regra";"969145";"1-2012177";"ultima_data_relevante_calc";"2026-02-03";"2026-02-06"
"alterado";"dados_e_derivados";"derivado_regra";"969145";"1-2012177";"dias_aio_ate_inicio_obra_calc";"0";"3"
"alterado";"dados";"dados_origem";"969254";"1-2016948";"situacao_da_analise_suspensiva_pbi";"Analisada com pendências";"Análise não iniciada"
"alterado";"dados";"dados_origem";"969254";"1-2016948";"situacao_da_analise_suspensiva_dmp";"Analisada com pendências";"Análise não iniciada"
"alterado";"dados_e_derivados";"dados_origem";"969296";"1-2010527";"dte_publicacao_licitacao_tgov";"";"2026-01-07"
"alterado";"dados_e_derivados";"dados_origem";"969296";"1-2010527";"dte_homologacao_licitacao_tgov";"";"2026-03-20"
"alterado";"dados_e_derivados";"derivado_regra";"969296";"1-2010527";"flag_publicacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"969296";"1-2010527";"flag_homologacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"969296";"1-2010527";"ultima_data_relevante_calc";"2025-12-08";"2026-03-20"
"alterado";"dados_e_derivados";"derivado_regra";"969296";"1-2010527";"fase_atual_calc";"LAE";"HOMOLOGACAO"
"alterado";"dados_e_derivados";"derivado_regra";"969296";"1-2010527";"dias_ate_publicacao_calc";"";"30"
"alterado";"dados_e_derivados";"derivado_regra";"969296";"1-2010527";"dias_publicacao_ate_homologacao_calc";"";"72"
"alterado";"dados_e_derivados";"dados_origem";"969348";"1-2016769";"dte_publicacao_licitacao_tgov";"2026-01-28";"2026-01-29"
"alterado";"dados_e_derivados";"derivado_regra";"969348";"1-2016769";"dias_ate_publicacao_calc";"61";"62"
