"tipo_alteracao";"categoria_alteracao";"natureza_campo";"num_convenio";"cod_saci";"campo";"valor_anterior";"valor_atual"
"alterado";"dados";"dados_origem";"7AAAMS";"1-2200354";"dsc_situacao_contrato_mcid_saci";"Em Contratação";"Contratado - Suspensiva"
"alterado";"dados";"dados_origem";"7AAAMS";"1-2200354";"dte_assinatura_contrato_saci";"";"2026-06-18"
"alterado";"dados";"dados_origem";"7AAAMS";"1-2200354";"motivo_suspensiva_retirada_dmp";"Não se aplica";""
"alterado";"dados_e_derivados";"dados_origem";"964483";"1-1982978";"dte_vrpl_tdb";"";"2026-06-18"
"alterado";"dados_e_derivados";"dados_origem";"964483";"1-1982978";"dte_aio_tdb";"";"2026-06-18"
"alterado";"dados_e_derivados";"dados_origem";"964483";"1-1982978";"dte_inicio_obra_mcid_saci";"";"2026-06-18"
"alterado";"dados_e_derivados";"derivado_regra";"964483";"1-1982978";"ultima_data_relevante_calc";"2026-04-15";"2026-06-18"
"alterado";"dados_e_derivados";"derivado_regra";"964483";"1-1982978";"fase_atual_calc";"HOMOLOGACAO";"OBRA INICIADA"
"alterado";"dados_e_derivados";"derivado_regra";"964483";"1-1982978";"dias_homologacao_ate_vrpl_calc";"";"64"
"alterado";"dados_e_derivados";"derivado_regra";"964483";"1-1982978";"dias_vrpl_ate_aio_calc";"";"0"
"alterado";"dados_e_derivados";"derivado_regra";"964483";"1-1982978";"dias_aio_ate_inicio_obra_calc";"";"0"
"alterado";"dados_e_derivados";"derivado_tempo";"964483";"1-1982978";"prazo_inicio_obra_calc";"";"2026-07-02"
"alterado";"dados_e_derivados";"derivado_tempo";"964483";"1-1982978";"status_inicio_obra_calc";"";"Iniciada no prazo"
"alterado";"dados_e_derivados";"dados_origem";"964497";"1-1992052";"dte_vrpl_tdb";"";"2026-06-19"
"alterado";"dados_e_derivados";"derivado_regra";"964497";"1-1992052";"ultima_data_relevante_calc";"2026-03-25";"2026-06-19"
"alterado";"dados_e_derivados";"derivado_regra";"964497";"1-1992052";"fase_atual_calc";"HOMOLOGACAO";"VRPL"
"alterado";"dados_e_derivados";"derivado_regra";"964497";"1-1992052";"dias_homologacao_ate_vrpl_calc";"";"86"
"alterado";"dados_e_derivados";"dados_origem";"964520";"1-1987825";"dte_vrpl_tdb";"";"2026-06-19"
"alterado";"dados_e_derivados";"derivado_regra";"964520";"1-1987825";"ultima_data_relevante_calc";"2026-01-09";"2026-06-19"
"alterado";"dados_e_derivados";"derivado_regra";"964520";"1-1987825";"fase_atual_calc";"HOMOLOGACAO";"VRPL"
"alterado";"dados_e_derivados";"derivado_regra";"964520";"1-1987825";"dias_homologacao_ate_vrpl_calc";"";"161"
"alterado";"dados_e_derivados";"dados_origem";"964738";"1-1990136";"dte_aio_tdb";"2026-06-17";""
"alterado";"dados_e_derivados";"derivado_regra";"964738";"1-1990136";"ultima_data_relevante_calc";"2026-06-17";"2026-06-10"
"alterado";"dados_e_derivados";"derivado_regra";"964738";"1-1990136";"fase_atual_calc";"AIO";"VRPL"
"alterado";"dados_e_derivados";"derivado_regra";"964738";"1-1990136";"dias_vrpl_ate_aio_calc";"7";""
"alterado";"dados_e_derivados";"derivado_tempo";"964738";"1-1990136";"prazo_inicio_obra_calc";"2026-07-01";""
"alterado";"dados_e_derivados";"derivado_tempo";"964738";"1-1990136";"status_inicio_obra_calc";"Próximos 10 dias úteis";""
"alterado";"dados_e_derivados";"dados_origem";"964827";"1-1991088";"dte_vrpl_tdb";"";"2026-06-19"
"alterado";"dados_e_derivados";"derivado_regra";"964827";"1-1991088";"ultima_data_relevante_calc";"2026-04-22";"2026-06-19"
"alterado";"dados_e_derivados";"derivado_regra";"964827";"1-1991088";"fase_atual_calc";"HOMOLOGACAO";"VRPL"
"alterado";"dados_e_derivados";"derivado_regra";"964827";"1-1991088";"dias_homologacao_ate_vrpl_calc";"";"58"
"alterado";"dados_e_derivados";"dados_origem";"964836";"1-1989401";"dte_vrpl_tdb";"2026-05-05";"2026-06-19"
"alterado";"dados_e_derivados";"derivado_regra";"964836";"1-1989401";"ultima_data_relevante_calc";"2026-05-05";"2026-06-19"
"alterado";"dados_e_derivados";"derivado_regra";"964836";"1-1989401";"dias_homologacao_ate_vrpl_calc";"106";"151"
"alterado";"dados_e_derivados";"dados_origem";"965238";"1-1996025";"dte_inicio_obra_mcid_saci";"2026-06-11";"2025-08-21"
"alterado";"dados_e_derivados";"derivado_regra";"965238";"1-1996025";"dias_aio_ate_inicio_obra_calc";"0";"-294"
"alterado";"dados_e_derivados";"dados_origem";"965240";"1-1996027";"dte_aio_tdb";"";"2026-06-19"
"alterado";"dados_e_derivados";"dados_origem";"965240";"1-1996027";"dte_inicio_obra_mcid_saci";"2026-05-14";"2025-09-01"
"alterado";"dados_e_derivados";"derivado_regra";"965240";"1-1996027";"ultima_data_relevante_calc";"2026-05-14";"2026-06-19"
"alterado";"dados_e_derivados";"derivado_regra";"965240";"1-1996027";"dias_vrpl_ate_aio_calc";"";"38"
"alterado";"dados_e_derivados";"derivado_regra";"965240";"1-1996027";"dias_aio_ate_inicio_obra_calc";"";"-291"
"alterado";"dados_e_derivados";"derivado_tempo";"965240";"1-1996027";"prazo_inicio_obra_calc";"";"2026-07-03"
"alterado";"dados_e_derivados";"derivado_tempo";"965240";"1-1996027";"status_inicio_obra_calc";"";"Iniciada no prazo"
"alterado";"dados_e_derivados";"dados_origem";"965242";"1-1996024";"dte_inicio_obra_mcid_saci";"2026-05-22";"2025-09-08"
"alterado";"dados_e_derivados";"derivado_regra";"965242";"1-1996024";"dias_aio_ate_inicio_obra_calc";"0";"-256"
"alterado";"dados_e_derivados";"dados_origem";"965989";"1-1984257";"dte_vrpl_tdb";"";"2026-06-18"
"alterado";"dados_e_derivados";"derivado_regra";"965989";"1-1984257";"ultima_data_relevante_calc";"2026-05-22";"2026-06-18"
"alterado";"dados_e_derivados";"derivado_regra";"965989";"1-1984257";"fase_atual_calc";"HOMOLOGACAO";"VRPL"
"alterado";"dados_e_derivados";"derivado_regra";"965989";"1-1984257";"dias_homologacao_ate_vrpl_calc";"";"27"
"alterado";"dados_e_derivados";"dados_origem";"966016";"1-1992030";"dte_vrpl_tdb";"";"2026-06-18"
"alterado";"dados_e_derivados";"dados_origem";"966016";"1-1992030";"dte_aio_tdb";"";"2026-06-18"
"alterado";"dados_e_derivados";"dados_origem";"966016";"1-1992030";"dte_inicio_obra_mcid_saci";"";"2026-06-18"
"alterado";"dados_e_derivados";"derivado_regra";"966016";"1-1992030";"ultima_data_relevante_calc";"2026-03-17";"2026-06-18"
"alterado";"dados_e_derivados";"derivado_regra";"966016";"1-1992030";"fase_atual_calc";"HOMOLOGACAO";"OBRA INICIADA"
"alterado";"dados_e_derivados";"derivado_regra";"966016";"1-1992030";"dias_homologacao_ate_vrpl_calc";"";"93"
"alterado";"dados_e_derivados";"derivado_regra";"966016";"1-1992030";"dias_vrpl_ate_aio_calc";"";"0"
"alterado";"dados_e_derivados";"derivado_regra";"966016";"1-1992030";"dias_aio_ate_inicio_obra_calc";"";"0"
"alterado";"dados_e_derivados";"derivado_tempo";"966016";"1-1992030";"prazo_inicio_obra_calc";"";"2026-07-02"
"alterado";"dados_e_derivados";"derivado_tempo";"966016";"1-1992030";"status_inicio_obra_calc";"";"Iniciada no prazo"
"alterado";"dados_e_derivados";"dados_origem";"966544";"1-1991748";"dte_vrpl_tdb";"";"2026-06-18"
"alterado";"dados_e_derivados";"derivado_regra";"966544";"1-1991748";"ultima_data_relevante_calc";"2026-05-26";"2026-06-18"
"alterado";"dados_e_derivados";"derivado_regra";"966544";"1-1991748";"fase_atual_calc";"HOMOLOGACAO";"VRPL"
"alterado";"dados_e_derivados";"derivado_regra";"966544";"1-1991748";"dias_homologacao_ate_vrpl_calc";"";"23"
"alterado";"dados_e_derivados";"dados_origem";"966548";"1-1986691";"dte_vrpl_tdb";"";"2026-06-18"
"alterado";"dados_e_derivados";"dados_origem";"966548";"1-1986691";"dte_aio_tdb";"";"2026-06-19"
"alterado";"dados_e_derivados";"dados_origem";"966548";"1-1986691";"dte_inicio_obra_mcid_saci";"";"2026-06-19"
"alterado";"dados_e_derivados";"derivado_regra";"966548";"1-1986691";"ultima_data_relevante_calc";"2026-05-29";"2026-06-19"
"alterado";"dados_e_derivados";"derivado_regra";"966548";"1-1986691";"fase_atual_calc";"HOMOLOGACAO";"OBRA INICIADA"
"alterado";"dados_e_derivados";"derivado_regra";"966548";"1-1986691";"dias_homologacao_ate_vrpl_calc";"";"20"
"alterado";"dados_e_derivados";"derivado_regra";"966548";"1-1986691";"dias_vrpl_ate_aio_calc";"";"1"
"alterado";"dados_e_derivados";"derivado_regra";"966548";"1-1986691";"dias_aio_ate_inicio_obra_calc";"";"0"
"alterado";"dados_e_derivados";"derivado_tempo";"966548";"1-1986691";"prazo_inicio_obra_calc";"";"2026-07-03"
"alterado";"dados_e_derivados";"derivado_tempo";"966548";"1-1986691";"status_inicio_obra_calc";"";"Iniciada no prazo"
"alterado";"dados_e_derivados";"dados_origem";"966555";"1-1991091";"dte_aio_tdb";"";"2026-06-18"
"alterado";"dados_e_derivados";"dados_origem";"966555";"1-1991091";"dte_inicio_obra_mcid_saci";"";"2026-06-18"
"alterado";"dados_e_derivados";"derivado_regra";"966555";"1-1991091";"ultima_data_relevante_calc";"2026-05-27";"2026-06-18"
"alterado";"dados_e_derivados";"derivado_regra";"966555";"1-1991091";"fase_atual_calc";"VRPL";"OBRA INICIADA"
"alterado";"dados_e_derivados";"derivado_regra";"966555";"1-1991091";"dias_vrpl_ate_aio_calc";"";"22"
"alterado";"dados_e_derivados";"derivado_regra";"966555";"1-1991091";"dias_aio_ate_inicio_obra_calc";"";"0"
"alterado";"dados_e_derivados";"derivado_tempo";"966555";"1-1991091";"prazo_inicio_obra_calc";"";"2026-07-02"
"alterado";"dados_e_derivados";"derivado_tempo";"966555";"1-1991091";"status_inicio_obra_calc";"";"Iniciada no prazo"
"alterado";"dados_e_derivados";"dados_origem";"967097";"1-1991686";"dte_inicio_obra_mcid_saci";"2026-05-27";"2026-03-27"
"alterado";"dados_e_derivados";"derivado_regra";"967097";"1-1991686";"dias_aio_ate_inicio_obra_calc";"0";"-61"
"alterado";"dados_e_derivados";"dados_origem";"968204";"1-2013689";"dte_inicio_obra_mcid_saci";"";"2026-06-17"
"alterado";"dados_e_derivados";"derivado_regra";"968204";"1-2013689";"fase_atual_calc";"AIO";"OBRA INICIADA"
"alterado";"dados_e_derivados";"derivado_regra";"968204";"1-2013689";"dias_aio_ate_inicio_obra_calc";"";"0"
"alterado";"dados_e_derivados";"derivado_tempo";"968204";"1-2013689";"status_inicio_obra_calc";"Próximos 10 dias úteis";"Iniciada no prazo"
"alterado";"dados_e_derivados";"dados_origem";"968237";"1-2013613";"dte_publicacao_licitacao_tgov";"";"2026-05-14"
"alterado";"dados_e_derivados";"dados_origem";"968237";"1-2013613";"dte_homologacao_licitacao_tgov";"";"2026-06-12"
"alterado";"dados_e_derivados";"derivado_regra";"968237";"1-2013613";"flag_publicacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"968237";"1-2013613";"flag_homologacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"968237";"1-2013613";"ultima_data_relevante_calc";"2025-08-20";"2026-06-12"
"alterado";"dados_e_derivados";"derivado_regra";"968237";"1-2013613";"fase_atual_calc";"LAE";"HOMOLOGACAO"
"alterado";"dados_e_derivados";"derivado_regra";"968237";"1-2013613";"dias_ate_publicacao_calc";"";"267"
"alterado";"dados_e_derivados";"derivado_regra";"968237";"1-2013613";"dias_publicacao_ate_homologacao_calc";"";"29"
"alterado";"dados_e_derivados";"dados_origem";"968246";"1-2014388";"dte_inicio_obra_mcid_saci";"2026-05-11";"2026-05-18"
