"data";"tipo";"categoria";"natureza";"num_convenio";"cod_saci";"uf";"secretaria";"campo";"valor_anterior";"valor_atual"
"2026-04-08";"Alterado";"dados_e_derivados";"dados_origem";"964522";"";"SP";"SNP";"dte_homologacao_licitacao_tgov";"";"2026-04-07"
"2026-04-08";"Alterado";"dados_e_derivados";"derivado_regra";"964522";"";"SP";"SNP";"flag_homologacao_licitacao_calc";"NAO";"SIM"
"2026-04-08";"Alterado";"dados_e_derivados";"derivado_regra";"964522";"";"SP";"SNP";"ultima_data_relevante_calc";"2025-12-18";"2026-04-07"
"2026-04-08";"Alterado";"dados_e_derivados";"derivado_regra";"964522";"";"SP";"SNP";"fase_atual_calc";"PUBLICACAO LICITACAO";"HOMOLOGACAO"
"2026-04-08";"Alterado";"dados_e_derivados";"derivado_regra";"964522";"";"SP";"SNP";"dias_publicacao_ate_homologacao_calc";"";"110"
"2026-04-08";"Alterado";"dados_e_derivados";"derivado_tempo";"964522";"";"SP";"SNP";"status_homolog_licitacao_calc";"Próximos 30 dias";"Concluída no prazo"
"2026-04-08";"Alterado";"dados";"dados_origem";"964937";"";"PE";"SNP";"situacao_da_analise_suspensiva_pbi";"Análise iniciada";"Analisada com pendências"
"2026-04-08";"Alterado";"dados";"dados_origem";"964942";"";"RN";"SNP";"situacao_da_analise_suspensiva_pbi";"Análise iniciada";"Analisada com pendências"
"2026-04-08";"Alterado";"dados_e_derivados";"dados_origem";"964981";"";"SP";"SNP";"dsc_situacao_contrato_mcid_saci";"Contratado - Suspensiva";"Contratado - Normal"
"2026-04-08";"Alterado";"dados_e_derivados";"dados_origem";"964981";"";"SP";"SNP";"situacao_da_analise_suspensiva_pbi";"Análise não iniciada";"Analisada e aceita"
"2026-04-08";"Alterado";"dados_e_derivados";"dados_origem";"964981";"";"SP";"SNP";"dte_retirada_suspensiva_tgov";"";"2026-04-07"
"2026-04-08";"Alterado";"dados_e_derivados";"dados_origem";"964981";"";"SP";"SNP";"dte_primeira_data_lae_tdb";"";"2026-04-07"
"2026-04-08";"Alterado";"dados_e_derivados";"derivado_regra";"964981";"";"SP";"SNP";"status_suspensiva_calc";"PENDENTE";"RETIRADA"
"2026-04-08";"Alterado";"dados_e_derivados";"derivado_regra";"964981";"";"SP";"SNP";"ultima_data_relevante_calc";"";"2026-04-07"
