"tipo_doc_suspensiva";"instrumento";"cod_saci";"proposta";"operacao";"recebedor";"uf";"municipio_beneficiado";"unidade_caixa";"programa";"valor_repasse";"situacao_da_analise";"doc_titularidade";"doc_viabilidade_terreno";"doc_sondagem";"doc_orcamento";"doc_projetos_implantacao";"doc_projetos_complementares";"doc_ambiental";"doc_vigilancia_sanitaria";"doc_bombeiros";"doc_trabalho_social";"dt_atualizacao";"consta_base_pc32"
"Documentos apresentados";"967094";"1-1992135";"175532024";"1096978";"SECRETARIA ESTADO DE ASSIST SOCIAL TRABALHO EMPREGO E RENDA";"PA";"MELGACO";"GIGOV/BE";"novo pac - água para quem mais precisa - abastecimento de água em áreas rurais";"3260484.34";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"967093";"1-1992116";"175542024";"1096979";"SECRETARIA ESTADO DE ASSIST SOCIAL TRABALHO EMPREGO E RENDA";"PA";"MOCAJUBA";"GIGOV/BE";"novo pac - água para quem mais precisa - abastecimento de água em áreas rurais";"3382308.16";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"968982";"1-2013802";"270302024";"1098276";"ESTADO DO PARA";"PA";"ANANINDEUA";"GIGOV/BE";"novo pac - água para todos - abastecimento de água - rp3";"23501277.07";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"970212";"1-2030948";"342492024";"1098974";"MUNICIPIO DE AGUDO - RS";"RS";"AGUDO";"GIGOV/SM";"mcmv - fnhis - calamidade no estado do rio grande do sul";"7050000.0";"Analisada com pendências";"Não Apresentado";"";"Não Apresentado";"Não Apresentado";"Não Apresentado";"Não Apresentado";"Não Apresentado";"Não se aplica";"Não se aplica";"Não Apresentado";"24/06/2026";"NÃO"
"Documentos apresentados";"970244";"1-2032017";"342662024";"1098988";"MUNICIPIO DE RESTINGA SECA - RS";"RS";"RESTINGA SECA";"GIGOV/SM";"mcmv - fnhis - calamidade no estado do rio grande do sul";"3750000.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"Não Apresentado";"24/06/2026";"NÃO"
"Documentos apresentados";"970213";"1-2031772";"342512024";"1098976";"MUNICIPIO DE ARROIO DO TIGRE - RS";"RS";"ARROIO DO TIGRE";"GIGOV/SM";"mcmv - fnhis - calamidade no estado do rio grande do sul";"7500000.0";"Analisada com pendências";"Não Apresentado";"Vistoria não realizada";"Não Apresentado";"Não Apresentado";"Não Apresentado";"Não Apresentado";"Não Apresentado";"Não se aplica";"Não se aplica";"Não Apresentado";"24/06/2026";"NÃO"
"Documentos apresentados";"970235";"1-2032560";"342692024";"1098991";"MUNICIPIO DE SAO LEOPOLDO - RS";"RS";"SAO LEOPOLDO";"REGOV/NH";"mcmv - fnhis - calamidade no estado do rio grande do sul";"4500000.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"Não Apresentado";"24/06/2026";"NÃO"
"Documentos apresentados";"970217";"1-2031583";"342552024";"1098979";"MUNICIPIO DE CERRO BRANCO - RS";"RS";"CERRO BRANCO";"GIGOV/SM";"mcmv - fnhis - calamidade no estado do rio grande do sul";"6000000.0";"Analisada com pendências";"Não Apresentado";"Vistoria não realizada";"Não Apresentado";"Não Apresentado";"Não Apresentado";"Não Apresentado";"Não Apresentado";"Não se aplica";"Não se aplica";"Não Apresentado";"24/06/2026";"NÃO"
"Documentos apresentados";"970630";"1-2033759";"348302024";"1099267";"MUNICIPIO DE PORTO ALEGRE - RS";"RS";"PORTO ALEGRE";"GIGOV/PO";"mcmv - fnhis - calamidade no estado do rio grande do sul";"31350000.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"973981";"1-2032702";"341172024";"1099476";"MUNICIPIO DE CRISTINO CASTRO - PI";"PI";"CRISTINO CASTRO";"GIGOV/TE";"novo pac - cidades sustentáveis e resilientes - subeixo gestão de resíduos sólidos";"2894624.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"974015";"1-2033172";"340682024";"1099468";"CONSORCIO INTERM DESENVOLVIM SUST MICROREG SERRA GERAL MINAS";"MG";"JANAUBA";"REGOV/MO";"novo pac - cidades sustentáveis e resilientes - subeixo gestão de resíduos sólidos";"9364174.8";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
