data;tipo;natureza;operacao;uf;municipio;recebedor;modalidade;campo;valor_anterior;valor_atual
2026-06-25;Alterado;dados_origem;0190501;RN;PARNAMIRIM/RN;MUNICIPIO DE PARNAMIRIM - RN EX-EDUARDO GOMESRN;SISTEMA DE TRATAMENTO DE ESGOTO;dias_sem_bm;21;34
2026-06-25;Alterado;dados_origem;0218113;RN;PARNAMIRIM/RN;ESTADO DO RIO GRANDE DO NORTE;IMPLANT. AMPLIA.DE SISTEMAS ABASTEC. AGUA;dias_sem_bm;172;185
2026-06-25;Alterado;dados_origem;0218245;BA;SIMÕES FILHO/BA;ESTADO DA BAHIA;IMPLANT.E AMPLIA.DE COLETA E TRATAM.ESGOTO;dias_sem_bm;49;34
2026-06-25;Alterado;dados_origem;0218348;MA;SÃO LUÍS/MA;ESTADO DO MARANHAO;IMPLANT.E AMPLIA.DE COLETA E TRATAM.ESGOTO;dias_sem_bm;177;190
2026-06-25;Alterado;dados_origem;0218593;MG;BETIM/MG;MUNICIPIO DE BETIM - MG;SANEAMENTO INTEGRADO;dias_sem_bm;442;455
2026-06-25;Alterado;dados_origem;0218598;PE;OLINDA/PE;ESTADO DE PERNAMBUCO;SANEAMENTO INTEGRADO;dias_sem_bm;361;374
2026-06-25;Alterado;dados_origem;0218598;PE;OLINDA/PE;ESTADO DE PERNAMBUCO;SANEAMENTO INTEGRADO;motivo_paralisacao;Dificuldade financeira da empresa executora;Dificuldade técnica da empresa executora
2026-06-25;Alterado;dados_origem;0218598;PE;OLINDA/PE;ESTADO DE PERNAMBUCO;SANEAMENTO INTEGRADO;detalhamento_motivo;Empresa deixou de executar parte da obra de menor impacto financeiro;Baixo ritmo de execução dos serviços
2026-06-25;Alterado;dados_origem;0218598;PE;OLINDA/PE;ESTADO DE PERNAMBUCO;SANEAMENTO INTEGRADO;principal_entrave;Não existe empresa contratada para execução dos serviços de esgotamento sanitário que estão impactando na funcionalidade do objeto.;Conclusão das obras. Prefeitura informou que irá licitar e concluir as obras com recurso prórprio.
2026-06-25;Alterado;dados_origem;0218696;AL;MACEIÓ/AL;SECRETARIA DA FAZENDA DO ESTADO DE ALAGOAS;URB.ASSENT.PREC E HABITACOES;situacao_compl;;tce em instauração
