ativo;tipo_operacao;proposta;operacao;dv;instrumento;repassador;uf;recebedor;ente;municipio;objeto;modalidade;modalidade_cc;situacao_obra;pct_fisico;dt_assinatura;vlr_repasse;vlr_contrapartida;vlr_desembolsado;mes_ultimo_desbloqueio;situacao_contrato;situacao_compl;dias_sem_bm;motivo_paralisacao;detalhamento_motivo;descricao_motivo;principal_entrave;plano_acao;previsao_retomada;dt_atualizacao
INATIVA;FINANCIAMENTO;;0189981;48;;Ministério das Cidades;SP;MUNICIPIO DE MOGI GUACU - SP;MUNICIPIO DE MOGI-GUACU;MOGI GUAÇU/SP;exec de melhorias em lagoa anaerobia, com lagoa anaerobia, emissario final e urbanizacao;SISTEMA DE TRATAMENTO DE ESGOTO;Retomada, conclusão e novas obras;Obra concluída;100;2007-09-14;3956515.07;18240289.66;3956515.07;202603;EM SITUACAO NORMAL;;;;;;;;;2026-06-25
ATIVA;FINANCIAMENTO;;0190501;58;;Ministério das Cidades;RN;MUNICIPIO DE PARNAMIRIM - RN EX-EDUARDO GOMESRN;MUNICIPIO DE PARNAMIRIM;PARNAMIRIM/RN;ses do municipio, prevendo 15429 ligacoes, tipo condominial,rede coletora, 16 estacoes elevatorias, est.de tratamento et;SISTEMA DE TRATAMENTO DE ESGOTO;Retomada, conclusão e novas obras;Obra em andamento;98.04;2007-07-31;36881142.14;15173815.86;36032706.29;202504;EM SITUACAO NORMAL;;34;;;;;;;2026-06-25
INATIVA;REPASSE;;0217984;87;595607;Ministério das Cidades;CE;ESTADO DO CEARA;ESTADO DO CEARA;FORTALEZA/CE;ampliacao do ses - bacia ce-6;IMPLANT.E AMPLIA.DE COLETA E TRATAM.ESGOTO;Retomada, conclusão e novas obras;Obra concluída;100;2007-10-30;13081080.67;4994513.31;12737625.680000002;202510;EM SITUACAO NORMAL;;;;;;;;;2026-06-25
ATIVA;REPASSE;;0218113;68;606921;Ministério das Cidades;RN;ESTADO DO RIO GRANDE DO NORTE;ESTADO DO RIO GRANDE DO NORTE;PARNAMIRIM/RN;ampliacao do sistema de abastecimento de agua do municipio de parnamirim/rn;IMPLANT. AMPLIA.DE SISTEMAS ABASTEC. AGUA;Retomada, conclusão e novas obras;Obra Paralisada;89.38;2007-12-28;15732979.02;4612332.58;14062766.979999997;201711;EM SITUACAO NORMAL;;185;Dificuldade técnica do Tomador;Dificuldade para atender requisitos documentais para reprogramação;Houve necessidade de se proceder reprogramação e atualmente, após a aprovação da reprogramação pela CAIXA, a CAERN está em trâmites internos para retomada da obra.;A CAERN precisa concluir os trâmites internos para considerar a reprogramação recentemente aprovada na CAIXA.;Não;;2026-06-25
ATIVA;REPASSE;;0218245;56;604583;Ministério das Cidades;BA;ESTADO DA BAHIA;ESTADO DA BAHIA;SIMÕES FILHO/BA;ampliacao do sistema de esgotamento sanitario de simoes filho;IMPLANT.E AMPLIA.DE COLETA E TRATAM.ESGOTO;Retomada, conclusão e novas obras;Obra em andamento;52.3;2007-12-24;21908646.94;39031753.29;13696905.479999997;202511;EM SITUACAO NORMAL;;34;;;;;;;2026-06-25
ATIVA;REPASSE;;0218348;92;596948;Ministério das Cidades;MA;ESTADO DO MARANHAO;ESTADO DO MARANHAO;SÃO LUÍS/MA;amp do sist de esgot sanit da ilha de sao de s luis etapa i - sistanil, vinhais e s. francisco.;IMPLANT.E AMPLIA.DE COLETA E TRATAM.ESGOTO;Retomada, conclusão e novas obras;Obra Paralisada;87.17;2007-11-27;106822618.66;33521449.88;91972484.98999998;202602;EM SITUACAO NORMAL;;190;;;;;;;2026-06-25
ATIVA;REPASSE;;0218593;77;621896;Ministério das Cidades;MG;MUNICIPIO DE BETIM - MG;MUNICIPIO DE BETIM;BETIM/MG;as intervenções propostas no projeto de saneamento integrado – psi abrangem: (i) abertura do sistema viário e de circula;SANEAMENTO INTEGRADO;Retomada, conclusão e novas obras;Obra Paralisada;67.05;2007-12-21;20950828.5;9177880.05;14901808.320000002;202504;EM SITUACAO NORMAL;;455;Dificuldade técnica do Tomador;Dificuldade para a realização do processo licitatório;O Tomador informa que houve reestruturação no setor de licitações, o que atrasou todos os processos licitatórios do município.;Está pendente a realização da licitação para concluir a execução das obras da ETE.;Não;;2026-06-25
ATIVA;REPASSE;;0218598;27;621884;Ministério das Cidades;PE;ESTADO DE PERNAMBUCO;ESTADO DE PERNAMBUCO;OLINDA/PE;as intervenções propostas no projeto de saneamento integrado – psi abrangem: (i) abertura do sistema viário e de circula;SANEAMENTO INTEGRADO;Retomada, conclusão e novas obras;Obra Paralisada;82.87;2007-12-04;51989221;3318460.8;51112682.55999998;202508;EM SITUACAO NORMAL;;374;Dificuldade técnica da empresa executora;Baixo ritmo de execução dos serviços;Empresa não concluiu os serviços de esgotamento sanitário para funcionalidade da operação: tampas das elevatórias, eletromecânica, ligação de energia;Conclusão das obras. Prefeitura informou que irá licitar e concluir as obras com recurso prórprio.;Não;;2026-06-25
ATIVA;REPASSE;;0218696;13;621866;Ministério das Cidades;AL;SECRETARIA DA FAZENDA DO ESTADO DE ALAGOAS;ESTADO DE ALAGOAS;MACEIÓ/AL;pac - urbanizacao integrada de favelas/vale do reginaldo;URB.ASSENT.PREC E HABITACOES;Retomada, conclusão e novas obras;Obra Paralisada;36.21;2007-12-28;55486890.4;14995809.07;17318348.2;201708;EM SITUACAO NORMAL;tce em instauração;3264;;;;;;;2026-06-25
INATIVA;REPASSE;;0218704;11;597917;Ministério das Cidades;BA;ESTADO DA BAHIA;ESTADO DA BAHIA;SALVADOR/BA;urbanizacao integrada do jd mangabeiras com impl de rede de agua, trat esgoto,drenagem, pav, uni hab, iluminacao e equip;SANEAMENTO INTEGRADO;Retomada, conclusão e novas obras;Obra concluída;100;2007-09-18;25578962.18;7810580.02;22693894.63000001;202411;EM SITUACAO NORMAL;;;;;;;;;2026-06-25
